tweet_id,timestamp,source,text,rating_denominator,name,dog_stage_ext,expanded_urls_ext,numerator_rating_ext,jpg_url,img_num,breed,confidence_level,retweet_count,favorite_count,lower_text_range,upper_text_range,year,month_number,day_number,hour_number,hour,rating
892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,10.0,Phineas,,https://twitter.com/dog_rates/status/892420643555336193,13.0,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,,,8805,39404,0,85,2017,8,1,16,04:00 PM,1.3
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",10.0,Tilly,pupper,https://twitter.com/dog_rates/status/892177421306343426,13.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,Chihuahua,0.323581,6453,33723,0,138,2017,8,1,0,12:00 AM,1.3
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,10.0,Archie,,https://twitter.com/dog_rates/status/891815181378084864,12.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,Chihuahua,0.716012,4279,25396,0,121,2017,7,0,0,12:00 AM,1.2
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,10.0,Darla,,https://twitter.com/dog_rates/status/891689557279858688,13.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,Labrador Retriever,0.1680859999999999,8890,42753,0,79,2017,7,6,15,03:00 PM,1.3
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",10.0,Franklin,,https://twitter.com/dog_rates/status/891327558926688256,12.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,Basset,0.555712,9683,40917,0,138,2017,7,5,16,04:00 PM,1.2
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,10.0,,,https://twitter.com/dog_rates/status/891087950875897856,13.0,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,Chesapeake Bay Retriever,0.425595,3222,20511,0,138,2017,7,5,0,12:00 AM,1.3
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",10.0,Jax,,https://twitter.com/dog_rates/status/890971913173991426,13.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,Appenzeller,0.341703,2132,12031,0,140,2017,7,4,16,04:00 PM,1.3
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,10.0,,,https://twitter.com/dog_rates/status/890729181411237888,13.0,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,Pomeranian,0.566142,19493,66561,0,118,2017,7,4,0,12:00 AM,1.3
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,10.0,Zoey,,https://twitter.com/dog_rates/status/890609185150312448,13.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,Irish Terrier,0.4875739999999999,4375,28145,0,122,2017,7,3,16,04:00 PM,1.3
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,10.0,Cassie,pupper,https://twitter.com/dog_rates/status/890240255349198849,14.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,Pembroke,0.511319,7650,32387,0,133,2017,7,2,15,03:00 PM,1.4
